formasi_id,ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,disable,gaji_min,gaji_max,gaji_rata2,rentang_gaji
c2217cf9-f7a1-40b0-8658-d2b4501e6fd8,Badan Pelindungan Pekerja Migran Indonesia,CPNS,Umum,Arsiparis Ahli Pertama,Badan Pelindungan Pekerja Migran Indonesia | Balai Pelayanan Pelindungan Pekerja Migran Indonesia Jawa Tengah,1,1,6862100,7726358,7294229.0,864258
d0a93fee-65aa-4aaf-b60a-1e81632ac23c,Badan Pelindungan Pekerja Migran Indonesia,CPNS,Umum,Arsiparis Ahli Pertama,Badan Pelindungan Pekerja Migran Indonesia | Balai Pelayanan Pelindungan Pekerja Migran Indonesia Sulawesi Utara,1,1,6862100,7726358,7294229.0,864258
d8146961-5dc3-4766-8227-727c09976fd5,Badan Pelindungan Pekerja Migran Indonesia,CPNS,Umum,Arsiparis Ahli Pertama,Badan Pelindungan Pekerja Migran Indonesia | Balai Pelayanan Pelindungan Pekerja Migran Indonesia Sulawesi Selatan,1,1,6862100,7726358,7294229.0,864258
fad7430a-4e30-48ab-9f7f-507c30381f4b,Badan Pelindungan Pekerja Migran Indonesia,CPNS,Umum,Pengembang Teknologi Pembelajaran Ahli Pertama,Badan Pelindungan Pekerja Migran Indonesia | Pusat Pengembangan Sumber Daya Manusia,2,1,6862100,7746358,7304229.0,884258
8a0186c991593869019159454c630bd4,Badan Pengawas Obat dan Makanan ,CPNS,Umum,Analis Pengembangan Kompetensi Asn Ahli Pertama,Wilayah Rekrutmen Zona 1,1,1,6240000,10000000,8120000.0,3760000
8a0186cd915aa77f01915ad76d563918,Badan Pengawas Obat dan Makanan ,CPNS,Penyandang Disabilitas,Analis Pengembangan Kompetensi Asn Ahli Pertama,Wilayah Rekrutmen Zona 1,1,1,6240000,10000000,8120000.0,3760000
8a0186cc9159ace5019159f0793c2342,Badan Pengawas Pemilihan Umum,CPNS,Lulusan Terbaik,Pengembang Teknologi Pembelajaran Ahli Pertama,Badan Pengawas Pemilihan Umum | Sekretariat Jenderal | Pusat Penelitian Pengembangan Pendidikan Dan Pelatihan,1,0,6677120,7061518,6869319.0,384398
354939de-5dcb-4ce0-bb0e-a5dbe3406f9d,Badan Pengawas Pemilihan Umum,CPNS,Umum,Pengembang Teknologi Pembelajaran Ahli Pertama,Badan Pengawas Pemilihan Umum | Sekretariat Jenderal | Pusat Penelitian Pengembangan Pendidikan Dan Pelatihan,2,0,6677120,7061518,6869319.0,384398
0c3fb1f2-c2ab-4590-af0d-835e9e0c4c12,Kementerian Dalam Negeri,CPNS,Umum,Analis Pengembangan Kompetensi Asn Ahli Pertama,Kementerian Dalam Negeri | Badan Pengembangan Sumber Daya Manusia | Pusat Pengembangan Sumber Daya Manusia Regional Yogyakarta,1,1,9000000,17000000,13000000.0,8000000
8a0384c7915b4c4c01915de6b3f510df,Kementerian Dalam Negeri,CPNS,Putra/Putri Papua Dan Papua Barat,Pengembang Teknologi Pembelajaran Ahli Pertama,"Kementerian Dalam Negeri | Institut Pemerintahan Dalam Negeri | Ipdn Kampus Papua | Bagian Administrasi Umum Dan Sistem Informasi | Subbagian Perlengkapan, Rumah Tangga, Dan Sistem Informasi",1,1,10000000,17000000,13500000.0,7000000
